district_id,district_name,level_,province_id
001,Quận Ba Đình,Quận,01
002,Quận Hoàn Kiếm,Quận,01
003,Quận Tây Hồ,Quận,01
004,Quận Long Biên,Quận,01
005,Quận Cầu Giấy,Quận,01
006,Quận Đống Đa,Quận,01
007,Quận Hai Bà Trưng,Quận,01
008,Quận Hoàng Mai,Quận,01
009,Quận Thanh Xuân,Quận,01
010,Huyện Sóc Sơn,Huyện,01
011,Huyện Đông Anh,Huyện,01
012,Huyện Gia Lâm,Huyện,01
013,Quận Nam Từ Liêm,Quận,01
014,Huyện Thanh Trì,Huyện,01
015,Quận Bắc Từ Liêm,Quận,01
016,Huyện Mê Linh,Huyện,01
017,Quận Hà Đông,Quận,01
018,Thị xã Sơn Tây,Thị xã,01
019,Huyện Ba Vì,Huyện,01
020,Huyện Phúc Thọ,Huyện,01
021,Huyện Đan Phượng,Huyện,01
022,Huyện Hoài Đức,Huyện,01
023,Huyện Quốc Oai,Huyện,01
024,Huyện Thạch Thất,Huyện,01
025,Huyện Chương Mỹ,Huyện,01
026,Huyện Thanh Oai,Huyện,01
027,Huyện Thường Tín,Huyện,01
028,Huyện Phú Xuyên,Huyện,01
029,Huyện Ứng Hòa,Huyện,01
030,Huyện Mỹ Đức,Huyện,01
031,Thành phố Hà Giang,Thành phố,02
032,Huyện Đồng Văn,Huyện,02
033,Huyện Mèo Vạc,Huyện,02
034,Huyện Yên Minh,Huyện,02
035,Huyện Quản Bạ,Huyện,02
036,Huyện Vị Xuyên,Huyện,02
037,Huyện Bắc Mê,Huyện,02
038,Huyện Hoàng Su Phì,Huyện,02
039,Huyện Xín Mần,Huyện,02
040,Huyện Bắc Quang,Huyện,02
041,Huyện Quang Bình,Huyện,02
042,Thành phố Cao Bằng,Thành phố,03
043,Huyện Bảo Lâm,Huyện,03
044,Huyện Bảo Lạc,Huyện,03
045,Huyện Thông Nông,Huyện,03
046,Huyện Hà Quảng,Huyện,03
047,Huyện Trà Lĩnh,Huyện,03
048,Huyện Trùng Khánh,Huyện,03
049,Huyện Hạ Lang,Huyện,03
050,Huyện Quảng Uyên,Huyện,03
051,Huyện Phục Hoà,Huyện,03
052,Huyện Hoà An,Huyện,03
053,Huyện Nguyên Bình,Huyện,03
054,Huyện Thạch An,Huyện,03
055,Thành Phố Bắc Kạn,Thành phố,04
056,Huyện Pác Nặm,Huyện,04
057,Huyện Ba Bể,Huyện,04
058,Huyện Ngân Sơn,Huyện,04
059,Huyện Bạch Thông,Huyện,04
060,Huyện Chợ Đồn,Huyện,04
061,Huyện Chợ Mới,Huyện,04
062,Huyện Na Rì,Huyện,04
063,Thành phố Tuyên Quang,Thành phố,05
064,Huyện Lâm Bình,Huyện,05
065,Huyện Na Hang,Huyện,05
066,Huyện Chiêm Hóa,Huyện,05
067,Huyện Hàm Yên,Huyện,05
068,Huyện Yên Sơn,Huyện,05
069,Huyện Sơn Dương,Huyện,05
070,Thành phố Lào Cai,Thành phố,06
