ward_id,ward_name,level_,district_id
00001,Phường Phúc Xá,Phường,001
00002,Phường Trúc Bạch,Phường,001
00003,Phường Vĩnh Phúc,Phường,001
00004,Phường Cống Vị,Phường,001
00005,Phường Liễu Giai,Phường,001
00006,Phường Nguyễn Trung Trực,Phường,001
00007,Phường Quán Thánh,Phường,001
00008,Phường Ngọc Hà,Phường,001
00009,Phường Điện Biên,Phường,001
00010,Phường Đội Cấn,Phường,001
00011,Phường Ngọc Khánh,Phường,001
00012,Phường Kim Mã,Phường,001
00013,Phường Giảng Võ,Phường,001
00014,Phường Thành Công,Phường,001
00015,Phường Phúc Tân,Phường,002
00016,Phường Đồng Xuân,Phường,002
00017,Phường Hàng Mã,Phường,002
00018,Phường Hàng Buồm,Phường,002
00019,Phường Hàng Đào,Phường,002
00020,Phường Hàng Bồ,Phường,002
00021,Phường Cửa Đông,Phường,002
00022,Phường Lý Thái Tổ,Phường,002
00023,Phường Hàng Bạc,Phường,002
00024,Phường Hàng Gai,Phường,002
00025,Phường Chương Dương,Phường,002
00026,Phường Hàng Trống,Phường,002
00027,Phường Cửa Nam,Phường,002
00028,Phường Hàng Bông,Phường,002
00029,Phường Tràng Tiền,Phường,002
00030,Phường Trần Hưng Đạo,Phường,002
00031,Phường Phan Chu Trinh,Phường,002
00032,Phường Hàng Bài,Phường,002
00033,Phường Phú Thượng,Phường,003
00034,Phường Nhật Tân,Phường,003
00035,Phường Tứ Liên,Phường,003
00036,Phường Quảng An,Phường,003
00037,Phường Xuân La,Phường,003
00038,Phường Yên Phụ,Phường,003
00039,Phường Bưởi,Phường,003
00040,Phường Thụy Khuê,Phường,003
00041,Phường Thượng Thanh,Phường,004
00042,Phường Ngọc Thụy,Phường,004
00043,Phường Giang Biên,Phường,004
00044,Phường Đức Giang,Phường,004
00045,Phường Việt Hưng,Phường,004
00046,Phường Gia Thụy,Phường,004
00047,Phường Ngọc Lâm,Phường,004
00048,Phường Phúc Lợi,Phường,004
00049,Phường Bồ Đề,Phường,004
00050,Phường Sài Đồng,Phường,004
00051,Phường Long Biên,Phường,004
00052,Phường Thạch Bàn,Phường,004
00053,Phường Phúc Đồng,Phường,004
00054,Phường Cự Khối,Phường,004
00055,Phường Nghĩa Đô,Phường,005
00056,Phường Nghĩa Tân,Phường,005
00057,Phường Mai Dịch,Phường,005
00058,Phường Dịch Vọng,Phường,005
00059,Phường Dịch Vọng Hậu,Phường,005
00060,Phường Quan Hoa,Phường,005
00061,Phường Yên Hoà,Phường,005
00062,Phường Trung Hoà,Phường,005
00063,Phường Cát Linh,Phường,006
00064,Phường Văn Miếu,Phường,006
00065,Phường Quốc Tử Giám,Phường,006
00066,Phường Láng Thượng,Phường,006
00067,Phường Ô Chợ Dừa,Phường,006
00068,Phường Văn Chương,Phường,006
00069,Phường Hàng Bột,Phường,006
00070,Phường Láng Hạ,Phường,006
00071,Phường Khâm Thiên,Phường,006
00072,Phường Thổ Quan,Phường,006
00073,Phường Nam Đồng,Phường,006
00074,Phường Trung Phụng,Phường,006
00075,Phường Quang Trung,Phường,006
00076,Phường Trung Liệt,Phường,006
00077,Phường Phương Liên,Phường,006
00078,Phường Thịnh Quang,Phường,006
00079,Phường Trung Tự,Phường,006
00080,Phường Kim Liên,Phường,006
00081,Phường Phương Mai,Phường,006
00082,Phường Ngã Tư Sở,Phường,006
00083,Phường Khương Thượng,Phường,006
00084,Phường Nguyễn Du,Phường,007
00085,Phường Bạch Đằng,Phường,007
00086,Phường Phạm Đình Hổ,Phường,007
00087,Phường Bùi Thị Xuân,Phường,007
00088,Phường Ngô Thì Nhậm,Phường,007
00089,Phường Lê Đại Hành,Phường,007
00090,Phường Đồng Nhân,Phường,007
00091,Phường Phố Huế,Phường,007
00092,Phường Đống Mác,Phường,007
00093,Phường Thanh Lương,Phường,007
00094,Phường Thanh Nhàn,Phường,007
00095,Phường Cầu Dền,Phường,007
00096,Phường Bách Khoa,Phường,007
00097,Phường Đồng Tâm,Phường,007
00098,Phường Vĩnh Tuy,Phường,007
00099,Phường Bạch Mai,Phường,007
00100,Phường Quỳnh Mai,Phường,007
00101,Phường Quỳnh Lôi,Phường,007
00102,Phường Minh Khai,Phường,007
00103,Phường Trương Định,Phường,007
00104,Phường Thanh Trì,Phường,008
00105,Phường Vĩnh Hưng,Phường,008
00106,Phường Định Công,Phường,008
00107,Phường Mai Động,Phường,008
00108,Phường Tương Mai,Phường,008
00109,Phường Đại Kim,Phường,008
00110,Phường Tân Mai,Phường,008
00111,Phường Hoàng Văn Thụ,Phường,008
00112,Phường Giáp Bát,Phường,008
00113,Phường Lĩnh Nam,Phường,008
00114,Phường Thịnh Liệt,Phường,008
00115,Phường Trần Phú,Phường,008
00116,Phường Hoàng Liệt,Phường,008
00117,Phường Yên Sở,Phường,008
00118,Phường Nhân Chính,Phường,009
00119,Phường Thượng Đình,Phường,009
00120,Phường Khương Trung,Phường,009
00121,Phường Khương Mai,Phường,009
00122,Phường Thanh Xuân Trung,Phường,009
00123,Phường Phương Liệt,Phường,009
00124,Phường Hạ Đình,Phường,009
00125,Phường Khương Đình,Phường,009
00126,Phường Thanh Xuân Bắc,Phường,009
00127,Phường Thanh Xuân Nam,Phường,009
00128,Phường Kim Giang,Phường,009
00129,Thị trấn Sóc Sơn,Thị trấn,010
00130,Xã Bắc Sơn,Xã,010
00131,Xã Minh Trí,Xã,010
00132,Xã Hồng Kỳ,Xã,010
00133,Xã Nam Sơn,Xã,010
00134,Xã Trung Giã,Xã,010
00135,Xã Tân Hưng,Xã,010
00136,Xã Minh Phú,Xã,010
00137,Xã Phù Linh,Xã,010
00138,Xã Bắc Phú,Xã,010
00139,Xã Tân Minh,Xã,010
00140,Xã Quang Tiến,Xã,010
00141,Xã Hiền Ninh,Xã,010
00142,Xã Tân Dân,Xã,010
00143,Xã Tiên Dược,Xã,010
00144,Xã Việt Long,Xã,010
00145,Xã Xuân Giang,Xã,010
00146,Xã Mai Đình,Xã,010
00147,Xã Đức Hoà,Xã,010
00148,Xã Thanh Xuân,Xã,010
00149,Xã Đông Xuân,Xã,010
00150,Xã Kim Lũ,Xã,010
00151,Xã Phú Cường,Xã,010
00152,Xã Phú Minh,Xã,010
00153,Xã Phù Lỗ,Xã,010
00154,Xã Xuân Thu,Xã,010
00155,Thị trấn Đông Anh,Thị trấn,011
00156,Xã Xuân Nộn,Xã,011
00157,Xã Thuỵ Lâm,Xã,011
00158,Xã Bắc Hồng,Xã,011
00159,Xã Nguyên Khê,Xã,011
00160,Xã Nam Hồng,Xã,011
00161,Xã Tiên Dương,Xã,011
00162,Xã Vân Hà,Xã,011
00163,Xã Uy Nỗ,Xã,011
00164,Xã Vân Nội,Xã,011
00165,Xã Liên Hà,Xã,011
00166,Xã Việt Hùng,Xã,011
00167,Xã Kim Nỗ,Xã,011
00168,Xã Kim Chung,Xã,011
00169,Xã Dục Tú,Xã,011
00170,Xã Đại Mạch,Xã,011
00171,Xã Vĩnh Ngọc,Xã,011
00172,Xã Cổ Loa,Xã,011
00173,Xã Hải Bối,Xã,011
00174,Xã Xuân Canh,Xã,011
00175,Xã Võng La,Xã,011
00176,Xã Tàm Xá,Xã,011
00177,Xã Mai Lâm,Xã,011
00178,Xã Đông Hội,Xã,011
00179,Thị trấn Yên Viên,Thị trấn,012
00180,Xã Yên Thường,Xã,012
00181,Xã Yên Viên,Xã,012
00182,Xã Ninh Hiệp,Xã,012
00183,Xã Đình Xuyên,Xã,012
00184,Xã Dương Hà,Xã,012
00185,Xã Phù Đổng,Xã,012
00186,Xã Trung Mầu,Xã,012
00187,Xã Lệ Chi,Xã,012
00188,Xã Cổ Bi,Xã,012
00189,Xã Đặng Xá,Xã,012
00190,Xã Phú Thị,Xã,012
00191,Xã Kim Sơn,Xã,012
00192,Thị trấn Trâu Quỳ,Thị trấn,012
00193,Xã Dương Quang,Xã,012
00194,Xã Dương Xá,Xã,012
00195,Xã Đông Dư,Xã,012
00196,Xã Đa Tốn,Xã,012
00197,Xã Kiêu Kỵ,Xã,012
00198,Xã Bát Tràng,Xã,012
00199,Xã Kim Lan,Xã,012
00200,Xã Văn Đức,Xã,012
00201,Phường Cầu Diễn,Phường,013
00202,Phường Xuân Phương,Phường,013
00203,Phường Phương Canh,Phường,013
00204,Phường Mỹ Đình 1,Phường,013
00205,Phường Mỹ Đình 2,Phường,013
00206,Phường Tây Mỗ,Phường,013
00207,Phường Mễ Trì,Phường,013
00208,Phường Phú Đô,Phường,013
00209,Phường Đại Mỗ,Phường,013
00210,Phường Trung Văn,Phường,013
00211,Thị trấn Văn Điển,Thị trấn,014
00212,Xã Tân Triều,Xã,014
00213,Xã Thanh Liệt,Xã,014
00214,Xã Tả Thanh Oai,Xã,014
00215,Xã Hữu Hoà,Xã,014
00216,Xã Tam Hiệp,Xã,014
00217,Xã Tứ Hiệp,Xã,014
00218,Xã Yên Mỹ,Xã,014
00219,Xã Vĩnh Quỳnh,Xã,014
00220,Xã Ngũ Hiệp,Xã,014
00221,Xã Duyên Hà,Xã,014
00222,Xã Ngọc Hồi,Xã,014
00223,Xã Vạn Phúc,Xã,014
00224,Xã Đại áng,Xã,014
00225,Xã Liên Ninh,Xã,014
00226,Xã Đông Mỹ,Xã,014
